"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2024-12-04 ~ 2025-12-03"
"실거래구분 : 토지(매매)"
"주소구분 : 지번주소"
"시도 : 강원특별자치도"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","지목","용도지역","도로조건","계약년월","계약일","계약면적","거래금액(만원)","지분구분","해제사유발생일","거래유형","중개사소재지"
"11","강원특별자치도 강릉시 내곡동","2**","대","제2종일반주거지역","8m미만","202512","02","50.50","1,000","지분","-","직거래","-"
"12","강원특별자치도 춘천시 서면 금산리","8**","전","자연녹지지역","-","202512","02","702.00","5,270","지분","-","직거래","-"
"13","강원특별자치도 춘천시 서면 금산리","8**","전","자연녹지지역","-","202512","02","606.00","4,549","지분","-","직거래","-"
"14","강원특별자치도 강릉시 옥계면 금진리","4**","대","계획관리지역","8m미만","202512","02","191.00","16,256","","-","직거래","-"
"15","강원특별자치도 태백시 화전동","1**","잡종지","준공업지역","8m미만","202512","02","18.92","100","지분","-","직거래","-"
"16","강원특별자치도 강릉시 옥계면 금진리","4**","대","계획관리지역","8m미만","202512","02","166.00","14,910","","-","직거래","-"
"17","강원특별자치도 강릉시 옥계면 금진리","4**","대","계획관리지역","8m미만","202512","02","173.00","15,205","","-","직거래","-"
"18","강원특별자치도 강릉시 옥계면 금진리","4**","대","계획관리지역","8m미만","202512","02","163.00","14,576","","-","직거래","-"
"19","강원특별자치도 춘천시 서면 금산리","8**","전","자연녹지지역","-","202512","02","1724.00","12,942","지분","-","직거래","-"
"20","강원특별자치도 강릉시 연곡면 동덕리","1**","전","자연녹지지역","8m미만","202512","02","1299.00","19,500","","-","직거래","-"
"21","강원특별자치도 춘천시 서면 금산리","8**","전","자연녹지지역","-","202512","02","2584.00","19,399","지분","-","직거래","-"
"22","강원특별자치도 강릉시 옥계면 금진리","4**","대","계획관리지역","8m미만","202512","02","173.00","15,205","","-","직거래","-"
"23","강원특별자치도 원주시 부론면 단강리","산6*","임야","농림지역","-","202512","02","3306.00","1,000","","-","직거래","-"
"24","강원특별자치도 고성군 현내면 대진리","2**","대","계획관리지역","-","202512","02","171.00","18,105","","-","직거래","-"
"25","강원특별자치도 철원군 동송읍 장흥리","2*","잡종지","계획관리지역","25m미만","202512","02","282.00","11,135","","-","직거래","-"
"26","강원특별자치도 인제군 인제읍 상동리","8*","답","일반상업지역","12m미만","202512","02","104.00","7,430","지분","-","직거래","-"
"27","강원특별자치도 정선군 임계면 봉산리","3**","전","계획관리지역","8m미만","202512","01","819.00","1,736","","-","직거래","-"
"28","강원특별자치도 정선군 정선읍 가수리","4*","대","계획관리지역","8m미만","202512","01","147.00","440","","-","직거래","-"
"29","강원특별자치도 양구군 양구읍 상무룡리","산3**","임야","농림지역","-","202512","01","12198.00","200","","-","직거래","-"
"30","강원특별자치도 철원군 철원읍 중세리","5*","답","농림지역","12m미만","202512","01","2419.30","7,680","","-","중개거래","강원 철원군"
"31","강원특별자치도 평창군 봉평면 유포리","1**","임야","계획관리지역","-","202512","01","8023.00","6,100","","-","직거래","-"
"32","강원특별자치도 평창군 진부면 호명리","1**","전","계획관리지역","8m미만","202512","01","975.00","1,000","","-","직거래","-"
"33","강원특별자치도 정선군 정선읍 가수리","4*","전","계획관리지역","-","202512","01","2254.00","6,680","","-","직거래","-"
"34","강원특별자치도 정선군 정선읍 가수리","4*","전","계획관리지역","8m미만","202512","01","296.00","880","","-","직거래","-"
"35","강원특별자치도 평창군 봉평면 면온리","6**","임야","계획관리지역","8m미만","202512","01","313.00","1,615","","-","직거래","-"
"36","강원특별자치도 영월군 상동읍 내덕리","4**","임야","계획관리지역","8m미만","202512","01","59.40","368","","-","직거래","-"
"37","강원특별자치도 철원군 근남면 잠곡리","6**","임야","보전관리지역","8m미만","202512","01","2569.00","600","","-","직거래","-"
"38","강원특별자치도 철원군 철원읍 중세리","5*","답","농림지역","8m미만","202512","01","5651.90","17,950","","-","중개거래","강원 철원군"
"39","강원특별자치도 삼척시 교동","산1**","임야","자연녹지지역","-","202512","01","257.00","2,878","","-","직거래","-"
"40","강원특별자치도 홍천군 내촌면 답풍리","4**","잡종지","계획관리지역","8m미만","202512","01","9.82","31","지분","-","직거래","-"
"41","강원특별자치도 홍천군 내촌면 답풍리","4**","잡종지","계획관리지역","8m미만","202512","01","27.11","86","지분","-","직거래","-"
"42","강원특별자치도 원주시 판부면 서곡리","1***","구거","제2종일반주거지역","-","202512","01","6.00","20","","20251202","직거래","-"
"43","강원특별자치도 원주시 명륜동","2**","대","제2종일반주거지역","8m미만","202512","01","18.27","825","지분","-","직거래","-"
"44","강원특별자치도 원주시 호저면 주산리","산2*","임야","계획관리지역","8m미만","202512","01","798.00","7,200","","-","중개거래","강원 원주시"
"45","강원특별자치도 홍천군 내촌면 답풍리","4**","잡종지","계획관리지역","8m미만","202512","01","30.91","98","지분","-","직거래","-"
"46","강원특별자치도 홍천군 남면 남노일리","1**","대","생산관리지역","-","202512","01","133.00","700","","-","직거래","-"
"47","강원특별자치도 홍천군 남면 남노일리","2**","임야","생산관리지역","12m미만","202512","01","11564.00","119,000","","-","직거래","-"
"48","강원특별자치도 홍천군 내촌면 답풍리","4**","잡종지","계획관리지역","8m미만","202512","01","2.47","8","지분","-","직거래","-"
"49","강원특별자치도 홍천군 화촌면 구성포리","4**","전","생산관리지역","8m미만","202512","01","633.00","4,000","","-","직거래","-"
"50","강원특별자치도 원주시 호저면 주산리","4**","답","농림지역","12m미만","202512","01","642.00","4,815","","-","직거래","-"
"51","강원특별자치도 홍천군 내촌면 답풍리","4**","잡종지","계획관리지역","8m미만","202512","01","4.70","15","지분","-","직거래","-"
"52","강원특별자치도 홍천군 내촌면 답풍리","4**","잡종지","계획관리지역","8m미만","202512","01","5.34","17","지분","-","직거래","-"
"53","강원특별자치도 홍천군 내촌면 답풍리","4**","잡종지","계획관리지역","8m미만","202512","01","23.93","76","지분","-","직거래","-"
"54","강원특별자치도 원주시 호저면 주산리","산2*","임야","계획관리지역","-","202512","01","793.00","6,300","","-","중개거래","강원 원주시"
"55","강원특별자치도 강릉시 강동면 하시동리","7*","답","계획관리지역","-","202512","01","618.00","8,590","","-","직거래","-"
"56","강원특별자치도 홍천군 화촌면 구성포리","4**","전","생산관리지역","8m미만","202512","01","634.00","4,000","","-","직거래","-"
"57","강원특별자치도 홍천군 남면 화전리","8**","전","계획관리지역","8m미만","202512","01","258.00","1,133","","-","중개거래","경기 하남시"
"58","강원특별자치도 홍천군 남면 화전리","8**","전","계획관리지역","8m미만","202512","01","466.00","2,028","","-","중개거래","경기 하남시"
"59","강원특별자치도 태백시 혈동","1**","잡종지","생산관리지역","12m미만","202512","01","2200.00","4,000","지분","-","직거래","-"
"60","강원특별자치도 횡성군 갑천면 화전리","1**","도로","계획관리지역","8m미만","202512","01","345.00","1,500","","-","직거래","-"
"61","강원특별자치도 춘천시 퇴계동","산*","임야","자연녹지지역","-","202512","01","79.00","1,200","","-","직거래","-"
"62","강원특별자치도 홍천군 내촌면 답풍리","4**","잡종지","계획관리지역","8m미만","202512","01","22.18","70","지분","-","직거래","-"
"63","강원특별자치도 홍천군 남면 화전리","8**","전","계획관리지역","12m미만","202512","01","3215.00","16,839","","-","중개거래","경기 하남시"
"64","강원특별자치도 고성군 토성면 봉포리","2**","주차장","준주거지역","12m미만","202511","30","165.00","30,000","","-","중개거래","강원 고성군, 경기 구리시"
"65","강원특별자치도 고성군 토성면 봉포리","2**","주차장","준주거지역","12m미만","202511","30","166.00","30,000","","-","중개거래","강원 고성군, 경기 구리시"
"66","강원특별자치도 화천군 간동면 방천리","4**","대","계획관리지역","8m미만","202511","29","149.00","512","","-","직거래","-"
"67","강원특별자치도 화천군 간동면 방천리","4**","답","계획관리지역","-","202511","29","1858.00","6,388","","-","직거래","-"
"68","강원특별자치도 춘천시 동내면 사암리","1***","전","제1종일반주거지역","8m미만","202511","29","155.00","3,500","","-","중개거래","강원 춘천시"
"69","강원특별자치도 홍천군 내면 방내리","7**","답","농림지역","8m미만","202511","29","1375.00","3,612","","-","직거래","-"
"70","강원특별자치도 홍천군 내면 방내리","7**","전","계획관리지역","12m미만","202511","29","2007.00","5,274","","-","직거래","-"
"71","강원특별자치도 홍천군 내면 방내리","7**","답","농림지역","8m미만","202511","29","2327.00","6,114","","-","직거래","-"
"72","강원특별자치도 횡성군 안흥면 상안리","5**","도로","생산관리지역","8m미만","202511","28","8.50","26","지분","-","직거래","-"
"73","강원특별자치도 태백시 화전동","1*","공장용지","준공업지역","-","202511","28","737.00","11,816","","-","직거래","-"
"74","강원특별자치도 강릉시 성산면 오봉리","산2*","임야","농림지역","8m미만","202511","28","163278.00","48,000","","-","중개거래","강원 강릉시"
"75","강원특별자치도 원주시 문막읍 반계리","1***","전","계획관리지역","8m미만","202511","28","1026.00","4,010","","-","중개거래","경기 여주시"
"76","강원특별자치도 태백시 화전동","1*","공장용지","준공업지역","-","202511","28","362.00","5,804","","-","직거래","-"
"77","강원특별자치도 원주시 문막읍 반계리","1***","대","계획관리지역","8m미만","202511","28","199.00","7,800","","-","중개거래","경기 여주시"
"78","강원특별자치도 춘천시 신동면 팔미리","1**","대","자연녹지지역","8m미만","202511","28","267.50","4,800","지분","-","직거래","-"
"79","강원특별자치도 삼척시 도경동","산2**","임야","자연녹지지역","-","202511","28","13785.00","2,500","","-","중개거래","강원 태백시"
"80","강원특별자치도 춘천시 신동면 팔미리","1**","도로","용도미지정","8m미만","202511","28","33.00","300","지분","-","직거래","-"
"81","강원특별자치도 춘천시 신동면 팔미리","1**","도로","용도미지정","8m미만","202511","28","33.00","200","지분","-","직거래","-"
"82","강원특별자치도 춘천시 사북면 원평리","*","임야","보전관리지역","8m미만","202511","28","123.00","2,000","","-","직거래","-"
"83","강원특별자치도 강릉시 구정면 학산리","산2*","임야","계획관리지역","-","202511","28","6843.00","3,726","","-","직거래","-"
"84","강원특별자치도 횡성군 서원면 유현리","1*","답","계획관리지역","8m미만","202511","28","2724.00","7,400","","-","직거래","-"
"85","강원특별자치도 횡성군 우천면 정금리","산1**","임야","계획관리지역","8m미만","202511","28","505.00","370","","-","중개거래","서울 동대문구"
"86","강원특별자치도 횡성군 횡성읍 가담리","3**","답","농림지역","8m미만","202511","28","1428.00","5,800","","-","중개거래","강원 횡성군"
"87","강원특별자치도 횡성군 우천면 정금리","산1**","임야","계획관리지역","8m미만","202511","28","42.00","30","지분","-","중개거래","서울 동대문구"
"88","강원특별자치도 홍천군 서면 팔봉리","산5*","임야","농림지역","-","202511","28","36793.00","10,000","","-","직거래","-"
"89","강원특별자치도 춘천시 신북읍 유포리","1***","전","자연녹지지역","8m미만","202511","28","224.00","4,700","","-","직거래","-"
"90","강원특별자치도 춘천시 사북면 원평리","*","임야","보전관리지역","8m미만","202511","28","1111.00","20,000","","-","직거래","-"
"91","강원특별자치도 삼척시 근덕면 교가리","9**","대","자연녹지지역","-","202511","28","233.00","1,000","","-","직거래","-"
"92","강원특별자치도 춘천시 신북읍 유포리","1***","전","자연녹지지역","-","202511","28","1352.00","25,300","","-","직거래","-"
"93","강원특별자치도 춘천시 동내면 사암리","4**","전","자연녹지지역","8m미만","202511","28","1653.00","22,000","","-","중개거래","강원 춘천시"
"94","강원특별자치도 강릉시 사천면 덕실리","4**","답","용도미지정","-","202511","28","14.00","100","","-","직거래","-"
"95","강원특별자치도 강릉시 연곡면 방내리","1**","임야","제2종일반주거지역","8m미만","202511","28","5547.00","3,356","","-","직거래","-"
"96","강원특별자치도 동해시 쇄운동","6**","전","자연녹지지역","8m미만","202511","28","231.00","1,700","","-","직거래","-"
"97","강원특별자치도 춘천시 사북면 원평리","*","임야","보전관리지역","8m미만","202511","28","110.00","1,000","","-","직거래","-"
"98","강원특별자치도 홍천군 영귀미면 방량리","2**","전","계획관리지역","8m미만","202511","28","211.00","1,740","","-","직거래","-"
"99","강원특별자치도 홍천군 영귀미면 방량리","2**","전","계획관리지역","-","202511","28","422.00","2,648","","-","직거래","-"
"100","강원특별자치도 홍천군 서면 중방대리","4**","도로","계획관리지역","8m미만","202511","28","8.91","33","지분","-","직거래","-"
"101","강원특별자치도 횡성군 안흥면 상안리","5**","도로","생산관리지역","8m미만","202511","28","49.00","148","지분","-","직거래","-"
"102","강원특별자치도 횡성군 안흥면 상안리","5**","도로","생산관리지역","8m미만","202511","28","8.62","26","지분","-","직거래","-"
"103","강원특별자치도 강릉시 사천면 덕실리","4**","답","계획관리지역","8m미만","202511","28","337.00","2,550","","-","직거래","-"
"104","강원특별자치도 춘천시 동내면 거두리","6**","답","자연녹지지역","8m미만","202511","28","377.00","23,000","","-","중개거래","강원 춘천시"
"105","강원특별자치도 강릉시 홍제동","6**","대","자연녹지지역","25m이상","202511","28","12.00","951","","-","직거래","-"
"106","강원특별자치도 횡성군 횡성읍 정암리","6**","전","계획관리지역","8m미만","202511","28","1147.00","3,500","","-","직거래","-"
"107","강원특별자치도 양양군 현북면 도리","3**","임야","보전관리지역","-","202511","28","2298.00","1,630","","-","중개거래","강원 속초시"
"108","강원특별자치도 철원군 동송읍 장흥리","9**","답","농림지역","8m미만","202511","28","2008.00","4,750","","-","직거래","-"
"109","강원특별자치도 철원군 동송읍 장흥리","9**","답","농림지역","8m미만","202511","28","106.00","250","","-","직거래","-"
"110","강원특별자치도 평창군 진부면 호명리","1**","하천","계획관리지역","8m미만","202511","28","158.00","200","","-","직거래","-"
"111","강원특별자치도 평창군 진부면 호명리","2**","전","계획관리지역","-","202511","28","53.00","50","","-","직거래","-"
"112","강원특별자치도 평창군 진부면 호명리","2**","전","계획관리지역","-","202511","28","846.00","1,300","","-","직거래","-"
"113","강원특별자치도 평창군 진부면 호명리","2**","전","계획관리지역","-","202511","28","2112.00","3,200","","-","직거래","-"
"114","강원특별자치도 평창군 진부면 호명리","1**","전","계획관리지역","8m미만","202511","28","169.00","250","","-","직거래","-"
"115","강원특별자치도 정선군 정선읍 귤암리","5**","임야","농림지역","-","202511","28","3574.00","264","","-","직거래","-"
"116","강원특별자치도 인제군 인제읍 덕산리","6**","답","농림지역","8m미만","202511","28","5899.00","36,000","","-","중개거래","강원 인제군"
"117","강원특별자치도 평창군 대관령면 횡계리","산3**","임야","자연녹지지역","8m미만","202511","28","1262.00","7,000","","-","직거래","-"
"118","강원특별자치도 정선군 남면 문곡리","산2**","임야","농림지역","-","202511","28","111800.00","9,390","","-","직거래","-"
"119","강원특별자치도 인제군 인제읍 덕산리","6**","답","농림지역","8m미만","202511","28","462.00","2,000","","-","중개거래","강원 인제군"
"120","강원특별자치도 화천군 상서면 봉오리","3**","대","계획관리지역","8m미만","202511","28","231.00","831","","-","직거래","-"
"121","강원특별자치도 화천군 상서면 봉오리","3**","대","계획관리지역","8m미만","202511","28","43.00","154","","-","직거래","-"
"122","강원특별자치도 평창군 봉평면 창동리","1**","전","생산녹지지역","25m미만","202511","28","2303.00","24,000","","-","직거래","-"
"123","강원특별자치도 양양군 현북면 말곡리","6**","전","계획관리지역","-","202511","28","2446.00","9,620","","-","직거래","-"
"124","강원특별자치도 화천군 상서면 봉오리","3**","대","계획관리지역","12m미만","202511","28","198.00","567","","-","직거래","-"
"125","강원특별자치도 화천군 상서면 봉오리","3**","대","계획관리지역","12m미만","202511","28","261.00","748","","-","직거래","-"
"126","강원특별자치도 양양군 현북면 도리","산5*","임야","농림지역","-","202511","28","11901.00","2,370","","-","중개거래","강원 속초시"
"127","강원특별자치도 평창군 봉평면 창동리","1**","답","생산녹지지역","-","202511","28","522.00","4,000","","-","직거래","-"
"128","강원특별자치도 양구군 동면 원당리","2*","전","계획관리지역","8m미만","202511","27","9.00","27","지분","-","직거래","-"
"129","강원특별자치도 평창군 평창읍 임하리","2**","임야","보전관리지역","-","202511","27","723.00","1,000","","-","직거래","-"
"130","강원특별자치도 양구군 동면 원당리","2*","전","계획관리지역","8m미만","202511","27","313.00","855","지분","-","직거래","-"
"131","강원특별자치도 양구군 동면 원당리","2*","전","계획관리지역","8m미만","202511","27","1356.00","3,690","지분","-","직거래","-"
"132","강원특별자치도 평창군 대화면 하안미리","1***","답","농림지역","8m미만","202511","27","1673.00","4,500","","-","직거래","-"
"133","강원특별자치도 평창군 용평면 이목정리","1**","대","보전관리지역","8m미만","202511","27","893.00","6,000","","-","중개거래","강원 평창군"
"134","강원특별자치도 고성군 현내면 배봉리","산7*","임야","농림지역","-","202511","27","1318.00","620","","-","직거래","-"
"135","강원특별자치도 평창군 진부면 두일리","2**","대","계획관리지역","8m미만","202511","27","306.00","2,300","","-","직거래","-"
"136","강원특별자치도 철원군 서면 와수리","1***","전","제2종일반주거지역","-","202511","27","60.00","909","","-","직거래","-"
"137","강원특별자치도 고성군 토성면 성천리","3**","공장용지","보전관리지역","12m미만","202511","27","212.00","3,314","","-","직거래","-"
"138","강원특별자치도 인제군 남면 소치리","3**","전","생산관리지역","8m미만","202511","27","1129.00","4,390","","-","중개거래","경기 남양주시"
"139","강원특별자치도 철원군 동송읍 관우리","1*","답","농림지역","8m미만","202511","27","5892.60","18,700","","-","중개거래","강원 철원군"
"140","강원특별자치도 고성군 현내면 배봉리","산7*","임야","농림지역","8m미만","202511","27","568.00","350","","-","직거래","-"
"141","강원특별자치도 양구군 동면 원당리","3*","전","계획관리지역","8m미만","202511","27","5.00","18","지분","-","직거래","-"
"142","강원특별자치도 양구군 동면 원당리","3*","전","계획관리지역","8m미만","202511","27","661.00","1,800","","-","직거래","-"
"143","강원특별자치도 고성군 거진읍 송강리","5**","답","농림지역","8m미만","202511","27","2922.00","8,664","","-","직거래","-"
"144","강원특별자치도 양구군 동면 원당리","2*","전","계획관리지역","8m미만","202511","27","1782.00","4,851","지분","-","직거래","-"
"145","강원특별자치도 양구군 동면 원당리","3*","전","계획관리지역","8m미만","202511","27","5.00","18","지분","-","직거래","-"
"146","강원특별자치도 양구군 동면 원당리","2*","전","계획관리지역","8m미만","202511","27","605.00","1,647","지분","-","직거래","-"
"147","강원특별자치도 영월군 김삿갓면 외룡리","1**","대","계획관리지역","8m미만","202511","27","516.00","5,300","","-","직거래","-"
"148","강원특별자치도 양구군 동면 원당리","2*","전","계획관리지역","8m미만","202511","27","984.00","2,682","지분","-","직거래","-"
"149","강원특별자치도 고성군 현내면 배봉리","산7*","임야","생산관리지역","8m미만","202511","27","6356.00","4,030","","-","직거래","-"
"150","강원특별자치도 양구군 동면 원당리","2*","전","계획관리지역","8m미만","202511","27","376.00","1,026","지분","-","직거래","-"
"151","강원특별자치도 양구군 동면 원당리","3*","전","계획관리지역","8m미만","202511","27","5.00","18","지분","-","직거래","-"
"152","강원특별자치도 양구군 동면 원당리","2*","전","계획관리지역","8m미만","202511","27","30.00","81","지분","-","직거래","-"
"153","강원특별자치도 양구군 동면 원당리","2*","전","계획관리지역","8m미만","202511","27","6614.00","18,000","지분","-","직거래","-"
"154","강원특별자치도 양구군 동면 원당리","3*","전","계획관리지역","8m미만","202511","27","514.00","1,386","지분","-","직거래","-"
"155","강원특별자치도 고성군 거진읍 송강리","5**","답","농림지역","8m미만","202511","27","2946.00","8,736","","-","직거래","-"
"156","강원특별자치도 원주시 신림면 송계리","3*","전","생산관리지역","8m미만","202511","27","79.71","185","지분","-","직거래","-"
"157","강원특별자치도 속초시 도문동","4**","도로","보전녹지지역","8m미만","202511","27","63.00","257","지분","-","직거래","-"
"158","강원특별자치도 강릉시 사천면 사기막리","2**","답","생산관리지역","8m미만","202511","27","1763.00","11,200","","-","직거래","-"
"159","강원특별자치도 횡성군 둔내면 현천리","4**","전","계획관리지역","-","202511","27","331.00","2,500","","-","중개거래","강원 횡성군"
"160","강원특별자치도 원주시 소초면 교항리","9**","답","계획관리지역","-","202511","27","1160.00","9,000","","-","중개거래","강원 원주시"
"161","강원특별자치도 강릉시 송정동","1***","제방","제1종일반주거지역","-","202511","27","85.33","3,099","지분","-","직거래","-"
"162","강원특별자치도 홍천군 두촌면 자은리","1**","대","생산관리지역","8m미만","202511","27","462.00","4,200","","-","직거래","-"
"163","강원특별자치도 원주시 신림면 송계리","3*","전","생산관리지역","8m미만","202511","27","2859.43","6,624","지분","-","직거래","-"
"164","강원특별자치도 평창군 미탄면 율치리","4**","대","계획관리지역","8m미만","202511","27","1129.00","2,000","","-","직거래","-"
"165","강원특별자치도 원주시 소초면 장양리","1***","전","계획관리지역","8m미만","202511","27","445.00","8,000","","-","직거래","-"
"166","강원특별자치도 원주시 신림면 송계리","3*","전","생산관리지역","8m미만","202511","27","2621.14","6,073","지분","-","직거래","-"
"167","강원특별자치도 강릉시 난곡동","3**","임야","보전녹지지역","-","202511","27","60.00","160","지분","-","직거래","-"
"168","강원특별자치도 홍천군 두촌면 자은리","1**","도로","생산관리지역","8m미만","202511","27","214.00","1,900","","-","직거래","-"
"169","강원특별자치도 강릉시 사천면 노동리","1***","전","농림지역","12m미만","202511","27","2076.10","15,300","","-","직거래","-"
"170","강원특별자치도 속초시 도문동","4**","도로","보전녹지지역","8m미만","202511","27","3.07","13","지분","-","직거래","-"
"171","강원특별자치도 강릉시 옥계면 금진리","1**","대","준주거지역","8m미만","202511","27","62.00","2,926","","-","직거래","-"
"172","강원특별자치도 속초시 도문동","4**","도로","보전녹지지역","8m미만","202511","27","3.07","13","지분","-","직거래","-"
"173","강원특별자치도 춘천시 동내면 학곡리","1**","도로","자연녹지지역","8m미만","202511","27","15.00","1,400","지분","-","중개거래","강원 춘천시"
"174","강원특별자치도 강릉시 구정면 학산리","6**","답","농림지역","8m미만","202511","27","2459.00","17,300","","-","중개거래","강원 강릉시"
"175","강원특별자치도 강릉시 구정면 학산리","6**","답","농림지역","8m미만","202511","27","3266.00","22,700","","-","중개거래","강원 강릉시"
"176","강원특별자치도 강릉시 송정동","1***","제방","제1종일반주거지역","-","202511","27","70.00","2,541","지분","-","직거래","-"
"177","강원특별자치도 홍천군 남면 신대리","8**","답","계획관리지역","-","202511","27","1274.50","9,650","지분","-","직거래","-"
"178","강원특별자치도 춘천시 동내면 학곡리","1**","전","자연녹지지역","8m미만","202511","27","561.00","12,500","","-","중개거래","강원 춘천시"
"179","강원특별자치도 홍천군 두촌면 자은리","1**","전","생산관리지역","8m미만","202511","27","488.00","3,300","","-","직거래","-"
"180","강원특별자치도 속초시 도문동","4**","도로","보전녹지지역","8m미만","202511","27","63.00","257","지분","-","직거래","-"
"181","강원특별자치도 홍천군 두촌면 자은리","1**","전","생산관리지역","8m미만","202511","27","544.00","3,600","","-","직거래","-"
"182","강원특별자치도 횡성군 우천면 우항리","6**","구거","일반상업지역","8m미만","202511","27","33.00","2,204","","-","직거래","-"
"183","강원특별자치도 원주시 신림면 송계리","3*","전","생산관리지역","8m미만","202511","27","544.29","1,261","지분","-","직거래","-"
"184","강원특별자치도 원주시 신림면 송계리","3*","전","생산관리지역","8m미만","202511","27","629.14","1,457","지분","-","직거래","-"
"185","강원특별자치도 춘천시 소양로3가","5*","대","일반상업지역","12m미만","202511","27","13.00","389","","-","중개거래","강원 춘천시"
"186","강원특별자치도 횡성군 안흥면 성산리","8**","도로","계획관리지역","8m미만","202511","26","23.00","200","지분","-","중개거래","강원 횡성군"
"187","강원특별자치도 춘천시 사농동","5**","전","제2종일반주거지역","8m미만","202511","26","11.00","1,440","지분","-","직거래","-"
"188","강원특별자치도 춘천시 사농동","5**","전","제2종일반주거지역","8m미만","202511","26","11.00","528","지분","-","직거래","-"
"189","강원특별자치도 춘천시 신동면 의암리","1**","임야","자연녹지지역","-","202511","26","100.00","1,600","지분","-","직거래","-"
"190","강원특별자치도 원주시 문막읍 건등리","7*","임야","농림지역","8m미만","202511","26","957.00","21,000","","-","중개거래","경기 여주시"
"191","강원특별자치도 삼척시 근덕면 교가리","1***","답","생산녹지지역","8m미만","202511","26","1126.00","6,000","","-","중개거래","강원 삼척시"
"192","강원특별자치도 원주시 소초면 수암리","1***","답","농림지역","12m미만","202511","26","1000.00","21,000","","-","직거래","-"
"193","강원특별자치도 횡성군 안흥면 가천리","1**","전","생산관리지역","12m미만","202511","26","446.50","2,160","지분","-","직거래","-"
"194","강원특별자치도 홍천군 내촌면 답풍리","8**","답","농림지역","8m미만","202511","26","1966.50","5,900","","-","직거래","-"
"195","강원특별자치도 동해시 이도동","5**","전","제2종일반주거지역","-","202511","26","288.00","6,710","","-","직거래","-"
"196","강원특별자치도 횡성군 둔내면 현천리","8**","답","농림지역","8m미만","202511","26","443.00","1,608","","-","직거래","-"
"197","강원특별자치도 횡성군 둔내면 현천리","8**","답","농림지역","8m미만","202511","26","2291.00","8,316","","-","직거래","-"
"198","강원특별자치도 원주시 문막읍 후용리","1***","답","농림지역","8m미만","202511","26","2454.00","9,400","","-","직거래","-"
